name                    ,dim    ,nnz     ,re                    ,time       ,memory     ,positive ,lang         ,os

ex15                    ,6867   ,98671   ,6.631e-07             ,0.012028   ,1          ,1        ,matlab       ,windows
2_ex19                  ,12005  ,259879  ,4.539577976574171e-08 ,0.60360    ,1          ,0        ,python       ,windows
ex15                    ,6867   ,98671   ,1.203950706270594e-06 ,0.40105    ,1          ,1        ,python       ,windows
ex19                    ,12005  ,259577  ,1.3397e-08            ,0.066048   ,1          ,0        ,matlab       ,windows
ex15                    ,6867   ,98671   ,1.283628874129374e-06 ,0.50830    ,2          ,1        ,python       ,ubuntu
graham1                 ,9035   ,335472  ,3.5116e-11            ,0.24181    ,2          ,0        ,matlab       ,windows
ex15                    ,6867   ,98671   ,6.4701e-07            ,0.011614   ,4          ,1        ,matlab       ,ubuntu
ex19                    ,12005  ,259879  ,4.841976485374535e-08 ,0.77339    ,6          ,0        ,python       ,ubuntu
shallow_water1          ,81920  ,327680  ,2.381e-16             ,0.23961    ,12         ,1        ,matlab       ,windows
raefsky3                ,21200  ,1488768 ,1.7862e-14            ,0.52217    ,15         ,0        ,matlab       ,windows
raefsky3                ,21200  ,1488768 ,1.4015e-14            ,0.4764     ,18         ,0        ,matlab       ,ubuntu
graham1                 ,9035   ,335472  ,5.1333e-11            ,0.24485    ,20         ,0        ,matlab       ,ubuntu
ex19                    ,12005  ,259577  ,1.236e-08             ,0.38876    ,21         ,0        ,matlab       ,ubuntu
graham1                 ,9035   ,335504  ,9.255216886224163e-07 ,0.503931   ,41         ,0        ,python       ,windows
graham1                 ,9035   ,335504  ,3.4996549185296606e-06,0.728702   ,53         ,0        ,python       ,ubuntu
shallow_water1          ,81920  ,327680  ,2.3809e-16            ,0.21707    ,100        ,1        ,matlab       ,ubuntu
shallow_water1          ,81920  ,327680  ,2.517229614870924e-16 ,2.190046   ,130        ,1        ,python       ,ubuntu
shallow_water1          ,81920  ,327680  ,2.543293345746488e-16 ,2.302122   ,132        ,1        ,python       ,windows
raefsky3                ,21200  ,1488768 ,3.537224051605418e-11 ,2.317168   ,207        ,0        ,python       ,windows
raefsky3                ,21200  ,1488768 ,3.3147382056003705e-11,3.272966   ,208        ,0        ,python       ,ubuntu
cfd1                    ,70656  ,1825580 ,1.402e-13             ,1.2127     ,250        ,1        ,matlab       ,ubuntu
parabolic_fem           ,525825 ,3674625 ,1.0686e-12            ,1.8259     ,262        ,1        ,matlab       ,ubuntu
cfd1                    ,70656  ,1825580 ,1.2527e-13            ,1.5621     ,386        ,1        ,matlab       ,windows
parabolic_fem           ,525825 ,3674625 ,1.0572e-12            ,2.1591     ,428        ,1        ,matlab       ,windows
cfd2                    ,123440 ,3085406 ,3.2073e-13            ,2.8287     ,586        ,1        ,matlab       ,ubuntu
torso1                  ,116158 ,8516500 ,2.363701525072193e-10 ,30.506534  ,618        ,0        ,python       ,windows
torso1                  ,116158 ,8516500 ,2.0058066125548818e-10,31.808709  ,619        ,0        ,python       ,ubuntu
cfd2                    ,123440 ,3085406 ,3.5643e-13            ,3.88       ,660        ,1        ,matlab       ,windows
cfd1                    ,70656  ,1828364 ,4.836481084813412e-14 ,46.715533  ,1067       ,1        ,python       ,windows
cfd1                    ,70656  ,1828364 ,3.2136055864673145e-14,35.764690  ,1161       ,1        ,python       ,ubuntu
parabolic_fem           ,525825 ,3674625 ,8.309150478273468e-13 ,25.852732  ,1235       ,1        ,python       ,windows
parabolic_fem           ,525825 ,3674625 ,8.310877080976531e-13 ,23.973217  ,1239       ,1        ,python       ,ubuntu
water_tank              ,60740  ,2035281 ,1.194645743758098e-09 ,107.240840 ,1352       ,0        ,python       ,windows
water_tank              ,60740  ,2035281 ,1.3499412692341551e-09,85.622508  ,1353       ,0        ,python       ,ubuntu
water_tank              ,60740  ,2035281 ,1.9933e-12            ,31.5318    ,1584       ,0        ,matlab       ,ubuntu
torso1                  ,116158 ,8516500 ,7.7926e-08            ,13.3577    ,1616       ,0        ,matlab       ,windows
torso1                  ,116158 ,8516500 ,5.753e-07             ,11.1605    ,1652       ,0        ,matlab       ,ubuntu
apache2                 ,715176 ,4817870 ,4.4262e-11            ,7.4447     ,1797       ,1        ,matlab       ,ubuntu
apache2                 ,715176 ,4817870 ,4.4254e-11            ,10.7192    ,1829       ,1        ,matlab       ,windows
water_tank              ,60740  ,2035281 ,4.8123e-13            ,31.7009    ,1837       ,0        ,matlab       ,windows
G3_circuit              ,1585478,7660826 ,3.2364e-12            ,10.0874    ,2118       ,1        ,matlab       ,ubuntu
PR02R                   ,161070 ,8185136 ,2.6356e-09            ,14.0186    ,2167       ,0        ,matlab       ,windows
G3_circuit              ,1585478,7660826 ,3.2311e-12            ,14.5917    ,2206       ,1        ,matlab       ,windows
cfd2                    ,123440 ,3087898 ,5.136900030353737e-13 ,166.201912 ,2277       ,1        ,python       ,windows
cfd2                    ,123440 ,3087898 ,5.097842046465764e-13 ,93.151130  ,2285       ,1        ,python       ,ubuntu
PR02R                   ,161070 ,8185136 ,0.05249811830530389   ,133.120255 ,3322       ,0        ,python       ,ubuntu
PR02R                   ,161070 ,8185136 ,0.03192541014086183   ,195.918932 ,3322       ,0        ,python       ,windows
kim2                    ,456976 ,11330020,5.8323e-16            ,70.7797    ,3814       ,0        ,matlab       ,windows
kim2                    ,456976 ,11330020,3.1352318029414586e-08,211.288391 ,4693       ,0        ,python       ,windows
PR02R                   ,161070 ,8185136 ,5.8959e-09            ,30.2744    ,4800       ,0        ,matlab       ,ubuntu
torso3                  ,259156 ,4429042 ,2.0534e-16            ,379.0678   ,5048       ,0        ,matlab       ,windows
G3_circuit              ,1585478,7660826 ,8.757840366996678e-13 ,532.657710 ,5141       ,1        ,python       ,windows
torso3                  ,259156 ,4429042 ,9.990709562858414e-16 ,1831.214331,5457       ,0        ,python       ,windows
apache2                 ,715176 ,4817870 ,1.1065207704869024e-11,760.159016 ,5796       ,1        ,python       ,windows
