name,custom,scipy
artificial,9.262983,0.010349
big_building,141.808986,0.133564
big_tree,84.392635,1.046671
bridge,21.641623,0.560935
cathedral,8.59725,0.011392
deer,20.709526,0.433576
fireworks,12.175728,0.010966
flower_foveon,3.89735,0.00723
hdr,9.00791,0.007146
leaves_iso_1600,8.622446,0.010469
leaves_iso_200,8.90159,0.011139
nightshot_iso_100,12.001925,0.009586
nightshot_iso_1600,11.792641,0.010589
spider_web,24.576176,0.043961
160x160,0.547869,0.00052
20x20,0.000593,4.4e-05
320x320,1.210516,0.002215
40x40,0.002698,7e-05
640x640,9.570327,0.010796
80x80,0.021849,0.00045
artificial,699.153978,0.245788
