name,custom,scipy,pixels
artificial,9.041176,0.010064,393216
big_building,141.984385,0.129696,2440812
big_tree,85.156263,1.060895,1732036
bridge,21.69602,0.573109,696944
cathedral,8.738286,0.010353,376000
deer,21.153684,0.427729,668271
fireworks,11.722391,0.012524,460992
flower_foveon,3.838797,0.007852,214326
hdr,8.833358,0.007371,393216
leaves_iso_1600,8.610826,0.011537,376000
leaves_iso_200,8.743438,0.012235,376000
nightshot_iso_100,11.79292,0.010921,460992
nightshot_iso_1600,11.637808,0.010882,460992
spider_web,24.633154,0.044604,757568
artificial_full,699.131242,0.252722,6291456
160x160,0.541809,0.000521,25600
20x20,0.000578,4.5e-05,400
320x320,1.19842,0.002011,102400
40x40,0.003089,0.000105,1600
640x640,9.506636,0.010779,409600
80x80,0.020027,0.000344,6400
